id,physical_description,size
12463,CARD; 4.75X7.5;, 4.75X7.5
12464,CARD; ILLUS; COL; 7.0X9.0;, 7.0X9.0
12465,CARD; ILLU; COL; 5.5X8.0;, 5.5X8.0
12466,CARD; ILLU; COL; 5.5X8.0;, 5.5X8.0
12467,FOLDER; ILLU; COL; 5.5X7.5;, 5.5X7.5
12468,CARD; ILLUS; COL; 4.75X7.25;, 4.75X7.25
12469,CARD; ILLUS; COL; 6.0X8.75;, 6.0X8.75
12470,BROADSIDE; ILLUS; COL; 5.5X8.50;, 5.5X8.50
12471,BROADSIDE; ILLUS; COL; 5.5X8.50;, 5.5X8.50
12472,FOLDER; ILLUS; COL; 5.5X7.5;, 5.5X7.5
12473,CARD; ILLUS; COL; 4.25X5.5;, 4.25X5.5
12474,BOOKLET; ILLUS; COL; 5.5X7.0;, 5.5X7.0
12475,CARD; ILLUS; 6X9.5;, 6X9.5
12476,FOLDER; ILLUS; 6X9.25;, 6X9.25
12477,BROADSIDE; ILLUS; 5.5X8.5;, 5.5X8.5
12478,,
12479,FOLDER; ILLUS; 5.5X8.5;, 5.5X8.5
12480,CARD; ILLUS; COL; 4.5X7;, 4.5X7
12481,CARD; ILLUS; COL; 4.5X7;, 4.5X7
12482,CARD; 4.25X6.25;, 4.25X6.25
12483,CARD; ILLUS; 6X9.5;, 6X9.5
12484,FOLDER; ILLUS; COL; 4.5X6.5;, 4.5X6.5
12485,CARD; 4.5 X 7;, 4.5 X 7
12486,CARD; ILLUS; COL; 3.25 X 8.5;, 3.25 X 8.5
12487,FOLDER; 6 X 9;, 6 X 9
12488,BOOKLET; ILLUS; 5 X 7.25;, 5 X 7.25
12489,FOLDER; ILLUS; 4 X 5.5;, 4 X 5.5
12490,CARD; ILLUS; COL; 4.5 X 8;, 4.5 X 8
12491,CARD; ILLUS; 4.5 X 6.25;, 4.5 X 6.25
12492,"BOOKLET, ILLUS; COL; 5 X 6.25;", 5 X 6.25
12493,CARD; 4.5 X 7;, 4.5 X 7
12494,BOOKLET; ILLUS; 4.5 X 6.5;, 4.5 X 6.5
12495,BOOKLET; ILLUS; 4 X 5.5;, 4 X 5.5
12497,CARD; 4.25 X 6.5;, 4.25 X 6.5
12498,CARD; COL; ILLUS; 5 X 7;, 5 X 7
12499,BROADSIDE; 6 X 9;, 6 X 9
12500,CARD;COL;4X6.5;,4X6.5
12501,CARD;ILL;COL;4.25X6.5;,4.25X6.5
12502,CARD;ILL;COL;4.25X6.5;,4.25X6.5
12503,FOL; 4.75 x 7.25;, 4.75 x 7.25
12504,CARD; 4 X 6.25;, 4 X 6.25
12505,BROADSIDE; COL; 7 X 11.75;, 7 X 11.75
12506,FOLDER; ILLUS;8.25 X 14;,8.25 X 14
12507,BROADSHEET; COL; 7 X 11;, 7 X 11
12508,BROADSIDE; HOTEL EMBLEM; 4.5 X 7.5;, 4.5 X 7.5
12509,BROADSHEET; ILLUS; COL; 5 X 8;, 5 X 8
12510,BROADSIDE; HOTEL EMBLEM; COL; 6.5 X 9;, 6.5 X 9
12511,BOOKLET;ILL;COL;4.25X6.25;,4.25X6.25
12515,CARD;3.5 X 5;,3.5 X 5
12516,BROADSIDE; ILLUS; 4.25 X 11.75, ILLUS
12517,BOOKLET; ILLUS; COL; 6 X 7.5, COL
12518,FOLDER;ILLUS;7.25X11.5;,7.25X11.5
12519,FOLDER;ILLUS;COL;3.5X7.25;,3.5X7.25
12520,BOOKLET;ILLUS;COL;4.25X3.5;,4.25X3.5
12522,BOOKLET;ILLUS;COL;3X3.75;,3X3.75
12523,BOOKLET;ILLUS;COL;6.25X9;,6.25X9
12524,FOLDER;ILLUS;COL;4X7.5;,4X7.5
12525,FOLDER; ILLUS; COL; 4.5X7;, 4.5X7
12526,BROADSIDE; ILLUS; 5.5X10;, 5.5X10
12527,CARD; ILLUS; COL; 4.5X6.5;, 4.5X6.5
12528,CARD; ILLUS; COL; 4.5X6.5;, 4.5X6.5
12529,FOLDER; ILLUS; COL; 3X4.5;, 3X4.5
12530,CARD; ILLUS; COL; 5X8;, 5X8
12531,CARD; ILLUS; COL; 5X8;, 5X8
12532,CARD; ILLUS; COL; 5X8;, 5X8
12533,CARD; ILLUS; COL; 5X8;, 5X8
12534,CARD; ILLUS; COL; 5.25X7.75;, 5.25X7.75
12535,BROADSIDE; ILLUS; 5.75X7.5;, 5.75X7.5
12536,BROADSIDE; 4.25X6.0;, 4.25X6.0
12537,CARD; ILLUS; COL; 4.5X6.5;, 4.5X6.5
12538,CARD; 5 X 8;, 5 X 8
12539,FOLDER; 8.5 X 12;, 8.5 X 12
12545,FOLDER; ILL; COL; 4.5 X 10.75;, 4.5 X 10.75
12546,FOLDER;COL;7.5X7.5;,7.5X7.5
12549,CARD;ILLUS;COL;5.5X7;,5.5X7
12550,CARD;ILLUS;COL;5.5X8.5;,5.5X8.5
12551,"CARD, ILLUS; COL; 5.5 X 8;", 5.5 X 8
12552,CARD; 4.25 X 6.75;, 4.25 X 6.75
12553,CARD;ILLUS; COL; 5.5 X 8.5;, 5.5 X 8.5
12554,CARD; 4.5X7.5;, 4.5X7.5
12555,BROADSHEET; 4.5X7.0;, 4.5X7.0
12556,FOLDER; ILLUS; COL; 6.5X9.5;, 6.5X9.5
12557,CARD; 4.75X7.25;, 4.75X7.25
12558,BROADSIDE; ILLUS; 5.5X8.75;, 5.5X8.75
12559,BOOKLET; ILLUS; 5.5X7;, 5.5X7
12560,FOLDER; ILLUS; COL; 4.5X7;, 4.5X7
12561,CARD; 3.5 X 5;, 3.5 X 5
12562,CARD; 4.5 X 6.5;, 4.5 X 6.5
12563,FOLDER;ILL;COL;5.5X8.5;,5.5X8.5
12564,FOLDER;ILL;COL;7X9.5;,7X9.5
12567,CARD; ILLUS; 3.25X6.25;, 3.25X6.25
12568,BROADSHEET; ILLUS; COL; 4.75X7.75, COL
12569,CARD; ILLUS; 4.25X6.25, ILLUS
12570,CARD; ILLUS; 5.5X7.5;, 5.5X7.5
12571,BROADSHEET; ILLUS; COL; 10X7;, 10X7
12573,CARD; ILLUS; 4.25X6.25;, 4.25X6.25
12574,BROADSIDE; ILLUS; 5.5X8.5;, 5.5X8.5
12575,BROADSHEET; ILLUS.BORDER; COL; 7 X 11;, 7 X 11
12576,BROADSIDE; 4.5 X 7;, 4.5 X 7
12577,BROADSIDE; ILLUS; COL; 5 X 7;, 5 X 7
12578,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
12579,BROADSIDE; ILLUS; 5.5 X 8.75;, 5.5 X 8.75
12583,,
12584,,
12585,,
12586,,
12587,,
12588,,
12589,,
12590,,
12591,,
12592,,
12593,,
12595,,
12596,,
12597,,
12598,,
12599,,
12600,,
12601,,
12602,,
12603,,
12604,,
12605,,
12606,,
12607,,
12609,,
12610,,
12611,,
12613,,
12614,,
12616,,
12617,,
12618,,
12619,,
12620,,
12621,,
12622,,
12624,,
12625,,
12626,,
12627,,
12628,,
12629,,
12630,,
12632,,
12633,,
12635,,
12636,,
12637,,
12638,,
12639,,
12640,,
12641,,
12642,,
12643,,
12644,,
12645,,
12646,,
12647,,
12648,,
12649,,
12650,,
12651,,
12652,,
12653,,
12654,,
12655,,
12656,,
12657,,
12658,,
12662,,
12663,,
12665,,
12666,,
12668,,
12669,,
12670,,
12671,,
12672,,
12673,,
12674,,
12675,,
12678,,
12688,,
12689,,
12694,,
12695,,
12696,,
12697,,
12698,,
12700,FOLDER; ILLUS; COL; 4.5 X 10.5;, 4.5 X 10.5
12702,BROADSIDE; COL; 5 X 7.25;, 5 X 7.25
12703,BROADSIDE; HOTEL EMBLEM; 5 X 7;, 5 X 7
12704,FOLDER; ILLUS; COL; 6.5 X 11;, 6.5 X 11
12705,BROADSHEET; 3.75 X 6;, 3.75 X 6
12706,BROADSIDE; COL;4.5 X 7.5;,4.5 X 7.5
12708,CARD;ILL;COL;4.5X7.5;,4.5X7.5
12709,CARD;4.5X7;,4.5X7
12710,BROADSIDE; 5.5X7.75;, 5.5X7.75
12711,BROADSIDE; 5.5X7.75;, 5.5X7.75
12712,FOLDER; ILLUS; COL; 5.5X6.75;, 5.5X6.75
12713,BROADSHEET; ILLUS; COL; 10.5X9.5;, 10.5X9.5
12714,BROADSIDE; 4.5X6.75;, 4.5X6.75
12715,BROADSHEET; ILLUS; 6.5 X 7.75;, 6.5 X 7.75
12716,CARD;ILLUS;COL;5.5X8;,5.5X8
12717,FOLDER; ILLUS; 3X5;, 3X5
12718,BROADSHEET; ILLUS; 5.25X8.25;, 5.25X8.25
12719,BROADSIDE; ILLUS; 4.5X7.25;, 4.5X7.25
12722,BROADSIDE; 4.75X8.25;, 4.75X8.25
12723,FOLDER; 5.5X8.5;, 5.5X8.5
12724,FOLDER; ILLUS; COL; 6.25X10.5;, 6.25X10.5
12725,BROADSIDE; 5.75X8.75;, 5.75X8.75
12726,BROADSIDE; 5.75X8.75;, 5.75X8.75
12728,BROADSIDE; 5.0X8.0;, 5.0X8.0
12729,BROADSIDE; 5.0X8.5;, 5.0X8.5
12731,CARD; COL; 3.25X5.25;, 3.25X5.25
12732,CARD; ILLUS; COL; 4.5X7.5;, 4.5X7.5
12733,CARD; ILLUS; COL; 4.5X7.5;, 4.5X7.5
12736,CARD;ILL;COL;5X8.25;,5X8.25
12737,FOLDER;COL;7X12.25;,7X12.25
12738,CARD;ILL;COL;4.25X7;,4.25X7
12739,CARD;ILL;COL;4X6.25;,4X6.25
12740,CARD;ILL;COL;4.25X6.5;,4.25X6.5
12746,CARD;ILL;COL;4.5X7.25;,4.5X7.25
12747,CARD;5X7,5X7
12749,CARD;ILL;COL;4.25X6.5;,4.25X6.5
12751,CARD;ILL;COL;4.5X7;,4.5X7
12754,FOLDER;ILL;COL;7X11L,COL
12755,FOLDER;ILL;COL;7X11L,COL
12757,BROADSIDE;5.5X8.5;,5.5X8.5
12758,FOLDER;5.5X8.5;,5.5X8.5
12759,CARD;ILL;COL;4X7;,4X7
12763,CARD; ILLUS; COL; 4/75X7.25;, 4/75X7.25
12764,BOOKLET; ILLUS; 4.25X6.25;, 4.25X6.25
12765,CARD; ILLUS; COL; 5.5X8.25;, 5.5X8.25
12766,FOLDER; ILLUS; COL; 5.25X8.5;, 5.25X8.5
12767,CARD; ILLUS; COL; 4.25X6.5;, 4.25X6.5
12768,CARD; ILLUS; 5 X 8;, 5 X 8
12769,CARD; ILLUS; 5 X 8;, 5 X 8
12770,CARD; COL; 4 X 6;, 4 X 6
12771,CARD; 4.25 X 6.5;, 4.25 X 6.5
12772,BROADSIDE; ILLUS; 5.5X8.5;, 5.5X8.5
12773,FOLDER; ILLUS; 5.5X8.5;, 5.5X8.5
12774,BOOKLET; ILLUS; COL; 6.5X10;, 6.5X10
12775,FOLDER; ILLUS; 6X9.5;, 6X9.5
12776,CARD; ILLUS; 5 X 8;, 5 X 8
12778,CARD; 4.25X6.75; ILLUS; COL;, COL
12780,CARD; ILLUS; COL; 9X7;, 9X7
12781,FOLDER; ILLUS; COL; 5.5X9;, 5.5X9
12782,FOLDER; ILLUS; COL; 6.25X8.75;, 6.25X8.75
12783,FOLDER; ILLUS; 6.25X10;, 6.25X10
12784,FOLDER; ILLUS; 7X11;, 7X11
12786,CARD; ILLUS 5.25X7.5;, ILLUS 5.25X7.5
12787,BROADSHEET; 8X10.5;, 8X10.5
12788,BROADSHEET; 5.5X9.5;, 5.5X9.5
12789,FOLDER; ILLUS; COL; 6X9.5;, 6X9.5
12790,BROADSIDE; COL; 5.25X7.25;, 5.25X7.25
12792,BROADSIDE; 4.25X7;, 4.25X7
12793,BROADSIDE; ILLUS; COL; 4.5X7.5;, 4.5X7.5
12794,CARD;ILL;COL;4.25X6.5;,4.25X6.5
12795,BOOKLET;ILL;COL;5.5X4;,5.5X4
12797,CARD;ILL;COL;4.5X7;,4.5X7
12798,FOLDER;ILL;4X5.5;,4X5.5
12799,BROADSHEET;3.75X6;,3.75X6
12800,CARD;ILL;COL;4.5X7;,4.5X7
12801,BROADSHEET;ILL;,ILL
12802,CARD; 5.5X8.0;, 5.5X8.0
12803,BROADSHEET; 3.75X6.0;, 3.75X6.0
12804,CARD; 6.5X10.0;, 6.5X10.0
12805,CARD; 5.5X7.0;, 5.5X7.0
12806,BROADSIDE; 5.25X7.5;, 5.25X7.5
12807,BROADSHEET; 3.75X6.0;, 3.75X6.0
12808,FOLDER; ILLUS; COL; 5.5X9.0;, 5.5X9.0
12809,CARD; 4.25X6.5;, 4.25X6.5
12810,CARD; ILLUS; COL; 4.5X7.25;, 4.5X7.25
12811,BROADSIDE; ILLUS; 5.5X8.5;, 5.5X8.5
12812,BOOKLET; ILLUS; 5.25X7.5;, 5.25X7.5
12814,FOLDER; 6X12;, 6X12
12815,FOLDER; 6.75X10;, 6.75X10
12816,CARD; ILLUS; 4.5X7;, 4.5X7
12817,CARD; ILLUS; 4.5X5.75;, 4.5X5.75
12818,CARD; ILLUS; 4.5X5.75;, 4.5X5.75
12819,BOOKLET; ILLUS; 6X9.5;, 6X9.5
12820,BOOKLET; ILLUS; 5.5X7.75;, 5.5X7.75
12821,CARD; 4.25 X 6.5;, 4.25 X 6.5
12824,FOLDER; 5 X 6.5;, 5 X 6.5
12826,FOLDER; COL; 5 X 7;, 5 X 7
12827,FOLDER; ILLUS; 4.5 X 6.5;, 4.5 X 6.5
12828,BROADSIDE; COL;4.5 X 7;,4.5 X 7
12831,BROADSIDE; ILLUS; 6 X 9.75, ILLUS
12833,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
12834,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
12835,BROADSIDE; 3.75 X 6;, 3.75 X 6
12836,FOLDER; 4.5 X 6.5;, 4.5 X 6.5
12837,BROADSIDE; ILLUS; 6 X 9.5;, 6 X 9.5
12838,CARD;ILL;COL;4.25X7;,4.25X7
12839,FOLDER;ILL;COL;5.5X8.5;,5.5X8.5
12840,CARD;ILL;COL;7X11;,7X11
12841,CARD;ILL;COL;7X11;,7X11
12842,CARD;ILL;COL;7X13;,7X13
12843,BROADSIDE;ILL;COL;5.5X8.5;,5.5X8.5
12844,BROADSIDE;ILL;COL;5.5X8.5;,5.5X8.5
12845,FOLDER;ILL;COL;5.5X8.5;,5.5X8.5
12846,CARD; 5.5 X 7.25;, 5.5 X 7.25
12847,CARD; 4 X 7.25;, 4 X 7.25
12848,CARD; 5.25 X 6.75;, 5.25 X 6.75
12849,CARD; 4 X 6.25;, 4 X 6.25
12850,CARD; COL; 6 X 10;, 6 X 10
12851,FOLDER; 6 X 9;, 6 X 9
12852,FOLDER; 6 X 9.25;, 6 X 9.25
12853,CARD; 6.75 X 11;, 6.75 X 11
12854,CARD; 6.25 X 9.25;, 6.25 X 9.25
12855,CARD; 5.5 X 8.25;, 5.5 X 8.25
12856,FOLDER; ILLUS; 5.5 X 8.75;, 5.5 X 8.75
12857,CARD; 3.75 X 8.25;, 3.75 X 8.25
12858,FOLDER; 7 X 11;, 7 X 11
12859,CARD; 4.5 X 7.5;, 4.5 X 7.5
12860,CARD; 4 X 5.5;, 4 X 5.5
12861,CARD; 6.25 X 9.25;, 6.25 X 9.25
12862,CARD; 6.25 X 10;, 6.25 X 10
12863,BROADSIDE; HOTEL EMBLEM; 5.25 X 7.5;, 5.25 X 7.5
12864,BROADSIDE; ILLUS; COL; 5.5 X 7.5;, 5.5 X 7.5
12865,BROADSIDE; HOTEL EMBLEM; COL; 4.5 X 7;, 4.5 X 7
12866,CARD; 4.25X6.5;, 4.25X6.5
12867,CARD; 6.25X9.25, 6.25X9.25
12868,CARD; 6.25X9.25, 6.25X9.25
12869,CARD; 6.25X9.25, 6.25X9.25
12870,CARD; 5.5X7.25;, 5.5X7.25
12871,CARD; 6.75X11.0;, 6.75X11.0
12872,FOLDER; 6.0X9.5;, 6.0X9.5
12874,CARD; 6.25X9.5;, 6.25X9.5
12875,CARD; 4.25X7.0;, 4.25X7.0
12879,FOLDER; ILLUS; 6X9.5;, 6X9.5
12880,FOLDER; 6X9.5;, 6X9.5
12881,CARD; 4.25X6.5;, 4.25X6.5
12882,CARD; ILLUS; 6X11;, 6X11
12884,CARD;5X7.25;,5X7.25
12885,CARD;COL;5.5X9.5;,5.5X9.5
12886,CARD;ILL;COL;4.5X7.5;,4.5X7.5
12887,CARD;ILL;COL;6.5X9;,6.5X9
12892,CARD; ILLUS; 5 X 8;, 5 X 8
12895,CARD; 6.5 X 9.75;, 6.5 X 9.75
12896,CARD; 6.5 X 9.75;, 6.5 X 9.75
12898,CARD; 4.5 X 7.25;, 4.5 X 7.25
12900,CARD; ILLUS; COL; 5.5 X 7;, 5.5 X 7
12901,BROADSIDE; ILLUS; COL; 4X6.75;, 4X6.75
12902,FOLDER; 6.25 X 9.25;, 6.25 X 9.25
12903,BROADSIDE; HOTEL SEAL; COL; 6.75 X 9.5;, 6.75 X 9.5
12904,BROADSHEET; HOTEL SEAL; COL; 5.5 X 7.75;, 5.5 X 7.75
12905,FOLDER; 6.5 X 10.5;, 6.5 X 10.5
12906,FOLDER; 6.5 X 9.5;, 6.5 X 9.5
12907,FOLDER; 7 X 10;, 7 X 10
12908,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
12909,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
12910,BROADSHEET; ILLUS; COL; 5 X 8;, 5 X 8
12911,BROADSIDE; GOLD TRIM; 3.5 X 5;, 3.5 X 5
12912,BROADSIDE; 5.25 X 7;, 5.25 X 7
12913,FOLDER; ILLUS; COL; 3.5 X 4.75;, 3.5 X 4.75
12916,BROADSIDE; ILLUS;4.25 X 7;,4.25 X 7
12917,FOLDER; ILLUS; 6 X 9.5;, 6 X 9.5
12918,CARD;ILL;COL;4X6.25;,4X6.25
12919,CARD;ILL;COL;4X6.25;,4X6.25
12920,CARD;ILL;COL;4X6.25;,4X6.25
12921,CARD; ILLUS; 4.25 X 6.5;, 4.25 X 6.5
12922,BROADSIDE; ILLUS; COL; 5X8;, 5X8
12923,FOLDER; ILLUS; COL; 6X8.5;, 6X8.5
12924,BROADSHEET; ILLUS; COL; 5X8;, 5X8
12925,BROADSIDE; ILLUS; COL; 6.25X9.75;, 6.25X9.75
12926,BROADSIDE; ILLUS; COL; 5X8;, 5X8
12927,BROADSIDE; ILLUS; 6X9.5;, 6X9.5
12931,BROADSIDE; ILLUS; COL; 5.5X8.5;, 5.5X8.5
12933,CARD; 4X5.5;, 4X5.5
12937,BROADSIDE; 5.5 X 7;, 5.5 X 7
12938,CARD; ILLUS; COL; 3 X 9.5;, 3 X 9.5
12940,BROADSIDE; 4.5 X 7;, 4.5 X 7
12941,FOLDER;ILL;4.5X5.75;,4.5X5.75
12942,,
12943,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12944,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12945,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12946,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12947,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12948,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12949,CARD;ILL;COL;4.5X6.5;,4.5X6.5
12950,CARD;5.75X6.5;,5.75X6.5
12951,CARD;5.75X6.5;,5.75X6.5
12952,CARD;5.75X6.5;,5.75X6.5
12953,CARD;5.75X6.5;,5.75X6.5
12954,CARD;5.75X6.5;,5.75X6.5
12955,CARD;5.75X6.5;,5.75X6.5
12956,CARD;5.75X6.5;,5.75X6.5
12957,CARD;5.75X6.5;,5.75X6.5
12958,FOLDER; ILLUS; 4.5X6.5;, 4.5X6.5
12959,BROADSIDE; 4.5X7.25;, 4.5X7.25
12960,CARD;ILL;COL;4X5.5;,4X5.5
12961,CARD;ILL;COL;6.5X8.75;,6.5X8.75
12962,CARD;ILL;COL;5.5X8.5;,5.5X8.5
12963,CARD;ILL;COL;5.5X8.5;,5.5X8.5
12964,FOLDER; ILLUS; COL; 5.5X7;, 5.5X7
12965,BOOKLET; ILLUS; COL; 5.25X7;, 5.25X7
12966,BROADSIDE; ILLUS; COL; 5.5X8.5;, 5.5X8.5
12967,BROADSIDE; ILLUS; COL; 5.5X8.5;, 5.5X8.5
12968,FOLDER; ILLUS; COL;5.5X8.5;,5.5X8.5
12969,BROADSIDE; HOTEL EMBLEM; COL; 5 X 7.5;, 5 X 7.5
12970,BROADSIDE; HOTEL EMBLEM; COL; 4.5 X 7;, 4.5 X 7
12971,BROADSIDE; HOTEL EMBLEM; COL; 5 X 7.5;, 5 X 7.5
12972,BROADSIDE; HOTEL EMBLEM; COL; 6 X 9.5;, 6 X 9.5
12973,BOOKLET; 5.75 X 9;, 5.75 X 9
12974,BROADSIDE; HOTEL EMBLEM; 4.25 X 7.5;, 4.25 X 7.5
12975,BROADSIDE; HOTEL EMBLEM; GOLD TRIM; 6.5 X 9;, 6.5 X 9
12976,BROADSIDE; HOTEL EMBLEM; COL; 4.75 X 6.75;, 4.75 X 6.75
12978,FOLDER; ILLUS; COL; 3.75 X 6;, 3.75 X 6
12979,FOLDER; 6 X 9.5;, 6 X 9.5
12980,FOLDER; ILLUS; 6.5 X 10.5;, 6.5 X 10.5
12982,BROADSIDE; ILLUS; COL; 5.25 X 7.75;, 5.25 X 7.75
12983,BROADSIDE; 4.5 X 7.25;, 4.5 X 7.25
12984,CARD;ILL;COL;5X7;,5X7
12985,CARD;ILL;COL;5X7;,5X7
12986,CARD;ILL;COL;4.5X9;,4.5X9
12987,CARD;COL;5.5X11,COL
12988,CARD;COL;6X10.75;,6X10.75
12991,BOOLET;ILL;COL;4/25X7;,4/25X7
12992,CARD;7X11;,7X11
12993,CARD; 5.25X7;, 5.25X7
12994,CARD; ILLUS; COL; 4X6.25;, 4X6.25
12995,BOOKLET; ILLUS; COL; 4.5X6;, 4.5X6
12996,BROADSHEET; ILLUS; COL; 5.25X8;, 5.25X8
12997,"BROADSIDE; ILLUS; COL; 3,5X7;"," 3,5X7"
12998,CARD; ILLUS; COL; 4.X6.25;, 4.X6.25
12999,CARD; ILLUS; COL; 4X6.25;, 4X6.25
13000,,
13001,BOOKLET; ILLUS; COL; 5.25X7.25;, 5.25X7.25
13002,FOLDER; ILLUS; COL; 5X8;, 5X8
13003,FOLDER; ILLUS; COL; 3.75X7;, 3.75X7
13004,FOLDER; ILLUS; COL; 5.25X7.5;, 5.25X7.5
13005,FOLDER; ILLUS; 4.5 X 7.5;, 4.5 X 7.5
13006,FOLDER; 3.0X3.0;, 3.0X3.0
13007,FOLDER; 5.5X8.5;, 5.5X8.5
13008,FOLDER; ILLUS; 5.5X7.0;, 5.5X7.0
13009,CARD; 4.75X6.75;, 4.75X6.75
13012,CARD: 3.25X6.25;,
13013,CARD; COL; 5.5X7.25;, 5.5X7.25
13014,BROADSIDE; 5.75X8.75, 5.75X8.75
13015,FOLDER; 5.75X8.75, 5.75X8.75
13017,CARD; 5.5X8.0;, 5.5X8.0
13020,CARD; 5.5X6.5;, 5.5X6.5
13021,CARD; 5.5X6.5;, 5.5X6.5
13022,CARD; 5.5X6.5;, 5.5X6.5
13023,CARD; 5.5X6.5;, 5.5X6.5
13024,CARD; 5.5X6.5;, 5.5X6.5
13025,CARD; ILLUS; COL; 4.5X6.25;, 4.5X6.25
13026,BROADSIDE; ILLUS; COL; 5.5X8.5;, 5.5X8.5
13027,BROADSIDE; 3.75X6;, 3.75X6
13028,CARD; ILLUS; 5X7.5;, 5X7.5
13029,CARD; ILLUS; COL; 4.25X6.5;, 4.25X6.5
13030,CARD; ILLUS; COL; 4.25X6.5;, 4.25X6.5
13031,CARD; ILLUS; COL; 4X8;, 4X8
13032,CARD; ILLUS; COL; 4.75X6.75;, 4.75X6.75
13033,BROADSHEET; ILLUS; COL; 5.5X8.75;, 5.5X8.75
13034,BROADSIDE; COL; 5.5 X 8.5;, 5.5 X 8.5
13035,CARD;ILL;COL;5X7;,5X7
13038,CARD;ILL;COL;5X7;,5X7
13039,BOOKLET;ILL;COL;10.75X13,COL
13041,BOOKLET; ILLUS; COL; 4.5X6.25;, 4.5X6.25
13042,BROADSIDE; 6.0X10.0;, 6.0X10.0
13043,CARE; 4.25X8.0;, 4.25X8.0
13044,CARD; 4.5X8.75;, 4.5X8.75
13045,FOLDER; ILLUS; COL; 5.5 X 8.5;, 5.5 X 8.5
13047,BOOKLET; ILLUS; COL; 6.75X8.25;, 6.75X8.25
13049,CARD; ILLUS; 4 X 6.25;, 4 X 6.25
13050,CARD; ILLUS; 3.5 X 5.75;, 3.5 X 5.75
13052,CARD; ILLUS; 4.25 X 6.5;, 4.25 X 6.5
13053,CARD; COL; 3.5 X 9.5;, 3.5 X 9.5
13054,BOOKLET; ILLUS; COL; 5 X 7;, 5 X 7
13057,BOOKLET; ILLUS; 5.5 X 7.5;, 5.5 X 7.5
13058,BOOKLET; ILLUS; CO; 8 X 10;, 8 X 10
13059,BROADSIDE; 7 X 11;, 7 X 11
13060,BOOKLET; ILLUS; COL; 4.75 X 6.75;, 4.75 X 6.75
13061,BROADSIDE; ILLUS; COL; 4X6.25;, 4X6.25
13062,CARD; ILLUS; COL; 4X6.25;, 4X6.25
13063,CARD; ILLUS; COL; 4X6.25;, 4X6.25
13064,CARD; COL; 3.5X4.5;, 3.5X4.5
13065,CARD; ILLUS; COL; 4.6.25;, 4.6.25
13066,BROADSIDE; ILLUS; COL; 5X8;, 5X8
13067,BROADSIDE; ILLUS; COL; 5X8;, 5X8
13069,CARD; 3.75 X 6;, 3.75 X 6
13070,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
13071,BROADSIDE; ILLUS; COL; 5 X 8;, 5 X 8
13072,BROADSHEET; ILL; COL; 5 X 8;, 5 X 8
13073,BROADSIDE; ILLUS; GOLD TRIM; 4.5 X 7.5;, 4.5 X 7.5
13074,BROADSHEET; ILLUS; COL; 5 X 8;, 5 X 8
13075,BROADSIDE; ILLUS; COL; 5 X 7;, 5 X 7
13076,BOOKLET;ILL;COL;4.25X6.5;,4.25X6.5
13077,CARD;ILL;4.25X7;,4.25X7
13078,CARD;ILL;COL;4.75X7.5;,4.75X7.5
13079,CARD;COL;4X7.5;,4X7.5
13080,CARD;ILL;COL;4.25X6.5;,4.25X6.5
13081,CARD;ILL;COL;3.25X5;,3.25X5
13082,CARD;ILL;3.75X7;,3.75X7
13083,CARD;ILL;COL;4.25X6.5;,4.25X6.5
13084,FOLDER;ILL;4.5X6.25;,4.5X6.25
13085,CARD;ILL;COL;5X8;,5X8
13086,CARD;ILL;COL;5X8;,5X8
13087,CARD;ILL;COL;5X8;,5X8
13088,FOLDER; ILLUS; COL; 5.25X7.5;, 5.25X7.5
13089,CARD; 4.75X7.0;, 4.75X7.0
13090,CARD; 6.0X8.0;, 6.0X8.0
13091,CARD; 6.0X8.0;, 6.0X8.0
13092,CARD; ILLUS; 4.5X6.75;, 4.5X6.75
13093,FOLDER; ILLUS; 4.5X6.5;, 4.5X6.5
13097,CARD; 4.75 X 6.25;, 4.75 X 6.25
13098,CARD; COL; 4.75 X 6.25;, 4.75 X 6.25
13099,BROADSIDE; 5.5 X 8.5;, 5.5 X 8.5
13100,FOLDER; ILLUS; COK; 4.5 X 7;, 4.5 X 7
13101,CARD; ILLUS; 4.25 X 6.5;, 4.25 X 6.5
13102,CARD; ILLUS; 4.25 X 6.5;, 4.25 X 6.5
13103,CARD; ILLUS; 4.25 X 6.5;, 4.25 X 6.5
13104,,
13105,CARD; ILLUS; COL; 3.25 X 6.75;, 3.25 X 6.75
13106,FOLDER; COL; 5.5 X 7;, 5.5 X 7
13107,BROADSIDE; 5.5 X 11;, 5.5 X 11
13108,BROADSIDE; 5.5 X 11;, 5.5 X 11
13110,CARD; ILLUS; 5 X 8;, 5 X 8
13111,CARD; GOLD DECORATION; 3 X 6;, 3 X 6
